time,accX,accY,accZ,gyrX,gyrY,gyrZ,pres,alt,temp
45.123,0.046,0.037,0.533,-0.031,0.017,0.020,1017.440,-0.190,24.870
45.424,0.047,0.036,0.535,-0.031,0.017,0.020,1017.440,-0.127,24.860
45.934,0.038,0.044,0.552,-0.031,0.017,0.020,1017.440,0.074,24.801
46.235,0.037,0.043,0.552,-0.032,0.017,0.020,1017.440,-0.190,24.852
46.536,0.037,0.044,0.560,-0.032,0.017,0.020,1017.420,0.011,24.863
46.833,0.033,0.047,0.567,-0.032,0.017,0.020,1017.450,-0.021,24.868
47.136,0.032,0.045,0.572,-0.032,0.017,0.020,1017.450,-0.233,24.873
47.435,0.031,0.045,0.578,-0.033,0.017,0.021,1017.460,-0.254,24.881
47.737,0.031,0.045,0.579,-0.033,0.017,0.020,1017.480,-0.190,24.870
48.038,0.033,0.046,0.582,-0.033,0.017,0.021,1017.460,-0.254,24.878
48.343,0.030,0.047,0.590,-0.033,0.017,0.021,1017.450,-0.148,24.868
48.645,0.031,0.047,0.595,-0.033,0.017,0.021,1017.460,-0.317,24.868
49.147,0.028,0.047,0.606,-0.033,0.017,0.020,1017.470,-0.085,24.806
49.451,0.030,0.046,0.613,-0.034,0.017,0.020,1017.490,-0.402,24.855
49.751,0.034,0.046,0.616,-0.034,0.017,0.020,1017.470,-0.317,24.863
50.054,0.037,0.045,0.623,-0.034,0.017,0.020,1017.490,-0.254,24.868
50.353,0.038,0.047,0.625,-0.034,0.017,0.021,1017.490,-0.211,24.878
50.653,0.037,0.046,0.628,-0.034,0.017,0.022,1017.480,-0.211,24.870
50.953,0.035,0.043,0.627,-0.034,0.017,0.022,1017.490,-0.423,24.870
51.250,0.036,0.046,0.623,-0.034,0.017,0.022,1017.480,-0.380,24.878
