time,accX,accY,accZ,gyrX,gyrY,gyrZ,pres,alt,temp
13.442,-0.012,-0.015,0.058,-0.025,-0.008,-0.020,1017.470,0.169,24.942
13.745,-0.009,-0.015,0.062,-0.025,-0.007,-0.020,1017.470,0.106,24.958
14.051,-0.013,-0.010,0.071,-0.025,-0.007,-0.020,1017.470,0.106,24.955
14.360,-0.011,-0.012,0.074,-0.025,-0.008,-0.020,1017.470,0.116,24.955
14.662,-0.008,-0.015,0.073,-0.025,-0.008,-0.020,1017.480,-0.211,24.955
14.968,-0.005,-0.012,0.078,-0.025,-0.008,-0.020,1017.490,0.095,24.955
15.273,-0.004,-0.010,0.083,-0.025,-0.008,-0.020,1017.490,-0.085,24.945
15.579,-0.006,-0.012,0.084,-0.025,-0.009,-0.020,1017.490,0.116,24.947
15.885,-0.004,-0.009,0.086,-0.025,-0.009,-0.020,1017.500,0.032,24.935
16.188,-0.003,-0.011,0.087,-0.025,-0.009,-0.020,1017.460,0.190,24.947
16.494,-0.004,-0.010,0.094,0.024,-0.009,-0.019,1017.480,0.000,24.945
17.013,-0.005,-0.014,0.091,-0.024,-0.009,-0.018,1017.500,0.063,24.886
17.316,-0.004,-0.013,0.097,-0.024,-0.009,-0.018,1017.480,0.021,24.919
17.623,-0.001,-0.013,0.103,-0.023,-0.009,-0.018,1017.470,0.042,24.929
17.933,0.001,-0.010,0.106,-0.024,-0.009,-0.018,1017.470,-0.063,24.922
18.239,0.002,-0.013,0.108,-0.024,-0.009,-0.017,1017.480,-0.021,24.929
18.546,0.002,-0.010,0.114,-0.024,-0.009,-0.017,1017.490,0.011,24.932
18.850,-0.000,-0.009,0.118,-0.025,-0.009,-0.018,1017.480,0.000,24.924
19.150,0.000,-0.010,0.119,-0.025,-0.009,-0.018,1017.450,0.137,24.932
19.452,0.000,-0.007,0.126,-0.025,-0.009,-0.018,1017.460,0.243,24.937
19.755,0.001,-0.007,0.127,-0.025,-0.009,-0.018,1017.480,-0.127,24.937
20.278,-0.001,-0.001,0.134,-0.025,-0.009,-0.017,1017.490,0.296,24.870
20.586,-0.000,0.002,0.139,-0.025,-0.009,-0.017,1017.490,0.053,24.904
20.893,-0.000,0.000,0.138,-0.025,-0.009,-0.017,1017.470,0.095,24.909
21.198,-0.001,-0.003,0.137,-0.025,-0.009,-0.016,1017.500,0.011,24.917
21.506,0.000,-0.005,0.138,-0.025,-0.009,-0.016,1017.480,0.169,24.917
21.812,0.003,-0.003,0.144,-0.026,-0.009,-0.016,1017.480,-0.127,24.919
22.120,0.006,0.000,0.148,-0.026,-0.009,-0.016,1017.460,0.106,24.919
22.423,0.006,0.004,0.154,-0.025,-0.009,-0.016,1017.470,-0.021,24.919
22.729,0.006,0.002,0.156,-0.026,-0.009,-0.016,1017.460,0.011,24.917
23.035,0.005,0.006,0.163,-0.026,-0.009,-0.015,1017.500,0.137,24.919
23.511,0.006,0.005,0.165,-0.026,-0.009,-0.015,1017.450,0.063,24.873
23.815,0.008,0.006,0.170,-0.026,-0.009,-0.015,1017.480,-0.127,24.901
24.122,0.006,0.008,0.177,-0.026,-0.009,-0.014,1017.470,0.190,24.911
24.424,0.004,0.011,0.183,-0.026,-0.009,-0.014,1017.470,-0.338,24.917
24.727,0.005,0.013,0.189,-0.026,-0.009,-0.014,1017.490,0.169,24.911
25.033,0.007,0.014,0.192,-0.026,-0.010,-0.014,1017.460,0.032,24.924
25.336,0.010,0.015,0.197,-0.026,-0.010,-0.013,1017.490,-0.127,24.917
25.635,0.012,0.014,0.199,-0.026,-0.010,-0.013,1017.510,-0.042,24.922
25.937,0.010,0.013,0.202,-0.025,-0.009,-0.012,1017.470,0.074,24.917
26.239,0.012,0.015,0.205,-0.025,-0.009,-0.012,1017.520,-0.317,24.917
26.752,0.010,0.010,0.208,-0.025,-0.009,-0.012,1017.460,0.380,24.860
27.054,0.009,0.010,0.209,-0.026,-0.009,-0.013,1017.460,0.106,24.888
27.358,0.010,0.010,0.211,-0.026,-0.009,-0.012,1017.460,-0.042,24.904
27.660,0.012,0.012,0.216,-0.026,-0.009,-0.012,1017.480,0.021,24.904
27.959,0.016,0.014,0.220,-0.026,-0.009,-0.013,1017.480,0.180,24.904
28.261,0.014,0.013,0.219,-0.026,-0.009,-0.013,1017.460,0.053,24.899
28.563,0.014,0.013,0.221,-0.026,-0.009,-0.013,1017.480,0.000,24.894
28.858,0.012,0.013,0.228,-0.026,-0.009,-0.013,1017.480,0.000,24.891
29.155,0.015,0.016,0.231,-0.026,-0.010,-0.012,1017.500,-0.085,24.891
29.458,0.012,0.016,0.232,-0.026,-0.010,-0.013,1017.480,-0.127,24.894
29.983,0.016,0.016,0.239,-0.026,-0.010,-0.013,1017.460,0.190,24.842
30.285,0.017,0.015,0.242,-0.026,-0.010,-0.013,1017.460,0.021,24.881
30.584,0.021,0.015,0.246,-0.026,-0.010,-0.013,1017.490,-0.063,24.896
30.889,0.023,0.017,0.250,-0.026,-0.010,-0.013,1017.460,0.000,24.896
31.185,0.026,0.019,0.255,-0.026,-0.010,-0.013,1017.480,-0.190,24.888
31.487,0.025,0.020,0.259,-0.026,-0.010,-0.012,1017.490,-0.042,24.888
31.790,0.027,0.018,0.258,-0.027,-0.010,-0.012,1017.490,0.053,24.881
32.386,0.025,0.018,0.262,-0.027,-0.010,-0.012,1017.460,-0.127,24.881
32.686,0.025,0.016,0.263,-0.027,-0.010,-0.011,1017.470,-0.021,24.886
33.194,0.024,0.011,0.262,-0.027,-0.011,-0.011,1017.430,0.222,24.829
33.494,0.024,0.009,0.266,-0.027,-0.011,-0.011,1017.470,0.042,24.878
33.796,0.027,0.010,0.273,-0.027,-0.011,-0.011,1017.450,-0.127,24.873
34.100,0.027,0.007,0.272,-0.027,-0.011,-0.011,1017.480,0.000,24.886
34.393,0.027,0.009,0.277,-0.027,-0.011,-0.011,1017.480,0.011,24.891
34.696,0.025,0.009,0.286,-0.027,-0.011,-0.011,1017.450,0.116,24.881
34.996,0.027,0.009,0.289,-0.028,-0.011,-0.011,1017.450,0.159,24.894
35.297,0.029,0.012,0.292,-0.028,-0.011,-0.011,1017.480,0.074,24.886
35.599,0.029,0.014,0.297,-0.028,-0.011,-0.011,1017.470,-0.106,24.883
35.903,0.031,0.016,0.303,-0.028,-0.011,-0.011,1017.480,0.042,24.891
36.409,0.031,0.021,0.315,-0.029,-0.012,-0.011,1017.470,-0.169,24.845
36.709,0.034,0.022,0.321,-0.029,-0.011,-0.011,1017.480,-0.106,24.881
37.011,0.034,0.024,0.327,-0.029,-0.011,-0.011,1017.450,0.032,24.878
37.312,0.034,0.021,0.328,-0.029,-0.012,-0.011,1017.480,0.190,24.886
37.611,0.031,0.023,0.339,-0.029,-0.012,-0.011,1017.460,-0.021,24.876
37.912,0.031,0.023,0.343,-0.029,-0.012,-0.011,1017.470,0.201,24.876
38.212,0.032,0.026,0.346,-0.029,-0.012,-0.010,1017.470,0.159,24.876
