time,accX,accY,accZ,gyrX,gyrY,gyrZ,pres,alt,temp
13.454,0.044,-0.014,0.100,-0.027,0.019,-0.001,1017.440,-0.042,24.891
13.756,0.043,-0.012,0.105,-0.026,0.019,-0.001,1017.470,-0.169,24.909
14.062,0.043,-0.012,0.108,-0.026,0.019,-0.001,1017.450,0.074,24.911
14.366,0.044,-0.009,0.114,-0.026,0.019,-0.001,1017.450,-0.042,24.929
14.671,0.044,-0.009,0.117,-0.027,0.019,-0.001,1017.450,0.000,24.924
14.971,0.044,-0.007,0.122,-0.027,0.019,-0.002,1017.430,-0.021,24.919
15.279,0.044,-0.009,0.122,-0.027,0.019,-0.001,1017.460,-0.148,24.917
15.581,0.046,-0.009,0.127,-0.028,0.019,-0.001,1017.460,-0.148,24.917
15.887,0.050,-0.006,0.131,-0.028,0.019,-0.001,1017.460,0.011,24.911
16.193,0.047,-0.005,0.139,-0.028,0.019,-0.001,1017.440,-0.042,24.906
16.500,0.047,-0.008,0.139,-0.028,0.019,-0.001,1017.450,-0.063,24.901
17.012,0.045,-0.008,0.143,-0.028,0.019,-0.001,1017.460,-0.233,24.842
17.317,0.045,-0.009,0.146,-0.028,0.019,-0.001,1017.460,-0.042,24.883
17.625,0.046,-0.008,0.150,-0.029,0.019,-0.000,1017.450,-0.021,24.896
17.933,0.042,-0.006,0.158,-0.029,0.020,-0.000,1017.450,-0.275,24.896
18.241,0.042,-0.011,0.167,-0.029,0.019,-0.000,1017.430,0.000,24.888
18.541,0.043,-0.012,0.177,-0.029,0.019,-0.000,1017.410,0.021,24.899
18.846,0.043,-0.014,0.183,-0.029,0.019,0.000,1017.430,-0.148,24.901
19.148,0.043,-0.012,0.189,-0.028,0.019,0.000,1017.430,-0.042,24.906
19.448,0.041,-0.010,0.196,-0.028,0.018,0.001,1017.450,0.042,24.901
19.749,0.039,-0.008,0.203,-0.027,0.018,0.001,1017.440,-0.042,24.904
20.221,0.039,-0.011,0.209,-0.028,0.018,0.002,1017.440,0.243,24.852
20.522,0.036,-0.007,0.216,-0.027,0.018,0.002,1017.410,0.159,24.878
