time,accX,accY,accZ,gyrX,gyrY,gyrZ,pres,alt,temp
334.863,-0.046,-0.049,-0.001,0.010,0.009,-0.009,1017.410,0.085,25.091
335.171,-0.046,-0.048,-0.002,0.009,0.009,-0.009,1017.440,0.063,25.111
335.480,-0.044,-0.046,-0.001,0.009,0.009,-0.010,1017.430,0.000,25.109
335.785,-0.043,-0.048,-0.003,0.009,0.009,-0.010,1017.420,0.011,25.127
336.093,-0.045,-0.048,-0.004,0.008,0.009,-0.010,1017.430,-0.063,25.122
336.403,-0.044,-0.051,-0.004,0.009,0.009,-0.010,1017.430,-0.106,25.124
336.710,-0.042,-0.050,-0.003,0.008,0.009,-0.010,1017.410,0.190,25.122
337.014,-0.041,-0.053,-0.000,0.008,0.009,-0.010,1017.410,0.222,25.127
337.321,-0.043,-0.054,-0.003,0.008,0.010,-0.010,1017.440,-0.085,25.129
337.632,-0.046,-0.054,-0.009,0.007,0.009,-0.010,1017.420,-0.063,25.132
337.942,-0.044,-0.051,-0.009,0.007,0.010,-0.010,1017.410,0.085,25.119
338.463,-0.043,-0.050,-0.013,0.007,0.010,-0.010,1017.410,0.053,25.076
338.772,-0.040,-0.052,-0.012,0.007,0.010,-0.010,1017.440,-0.021,25.104
339.078,-0.042,-0.053,-0.013,0.007,0.010,-0.010,1017.430,-0.190,25.129
339.388,-0.045,-0.053,-0.015,0.007,0.010,-0.010,1017.430,0.148,25.122
339.693,-0.044,-0.055,-0.018,0.007,0.010,-0.011,1017.430,0.032,25.124
339.996,-0.045,-0.055,-0.017,0.008,0.010,-0.011,1017.440,0.095,25.127
340.300,-0.046,-0.054,-0.024,0.008,0.010,-0.011,1017.400,-0.021,25.132
340.603,-0.048,-0.057,-0.024,0.008,0.010,-0.011,1017.440,0.275,25.129
340.909,-0.048,-0.055,-0.025,0.007,0.010,-0.011,1017.400,0.095,25.132
341.211,-0.050,-0.053,-0.029,0.007,0.010,-0.011,1017.400,0.243,25.132
341.715,-0.048,-0.051,-0.032,0.007,0.010,-0.011,1017.410,0.148,25.081
342.020,-0.047,-0.052,-0.032,0.007,0.011,-0.011,1017.410,0.148,25.114
342.324,-0.045,-0.052,-0.031,0.007,0.011,-0.011,1017.450,-0.127,25.132
342.628,-0.042,-0.054,-0.028,0.006,0.011,-0.012,1017.440,0.021,25.132
342.934,-0.047,-0.056,-0.010,0.006,0.011,-0.012,1017.440,-0.127,25.132
343.242,-0.048,-0.058,-0.010,0.006,0.010,-0.012,1017.430,0.095,25.137
343.548,-0.051,-0.056,-0.016,0.006,0.011,-0.012,1017.410,0.063,25.129
343.854,-0.049,-0.055,-0.014,0.006,0.011,-0.012,1017.420,0.137,25.147
344.160,-0.047,-0.056,-0.023,0.006,0.010,-0.012,1017.430,-0.169,25.137
344.463,-0.051,-0.056,-0.024,0.006,0.011,-0.012,1017.430,0.169,25.153
344.930,-0.054,-0.059,-0.013,0.006,0.011,-0.013,1017.410,0.222,25.104
345.234,-0.054,-0.057,-0.008,0.006,0.011,-0.012,1017.420,0.074,25.145
345.541,-0.048,-0.056,-0.005,0.006,0.011,-0.012,1017.430,-0.169,25.168
345.846,-0.048,-0.056,-0.001,0.006,0.011,-0.012,1017.430,-0.106,25.176
346.153,-0.050,-0.055,0.009,0.006,0.011,-0.013,1017.430,-0.063,25.176
346.458,-0.049,-0.055,0.010,0.006,0.010,-0.013,1017.450,-0.042,25.183
346.763,-0.051,-0.055,0.011,0.007,0.010,-0.013,1017.410,0.106,25.191
347.067,-0.053,-0.053,0.013,0.007,0.010,-0.012,1017.420,0.063,25.191
347.372,-0.049,-0.053,0.013,0.007,0.011,-0.013,1017.400,0.011,25.191
347.674,-0.049,-0.054,0.012,0.007,0.011,-0.013,1017.420,0.042,25.199
