time,accX,accY,accZ,gyrX,gyrY,gyrZ,pres,alt,temp
13.441,9.468,7.593,-0.051,-0.675,-0.210,-1.502,1020.280,-0.127,21.741
13.737,9.701,7.782,-0.024,-0.699,-0.211,-1.534,1020.320,0.042,21.769
14.032,9.910,7.937,0.022,-0.719,-0.225,-1.552,1020.260,0.169,21.784
14.327,10.144,8.096,0.046,-0.734,-0.229,-1.579,1020.260,0.000,21.784
14.615,10.397,8.255,0.090,-0.739,-0.222,-1.602,1020.260,0.085,21.784
14.907,10.596,8.401,0.110,-0.747,-0.222,-1.622,1020.260,0.063,21.805
15.201,10.890,8.560,0.143,-0.743,-0.220,-1.645,1020.260,0.106,21.815
15.492,11.089,8.740,0.109,-0.758,-0.221,-1.659,1020.300,0.074,21.802
15.783,11.319,8.902,0.121,-0.768,-0.223,-1.682,1020.270,-0.169,21.795
16.081,11.569,9.082,0.108,-0.789,-0.224,-1.699,1020.290,0.074,21.795
16.374,11.807,9.246,0.151,-0.801,-0.229,-1.720,1020.260,-0.148,21.795
16.880,12.182,9.539,0.186,-0.833,-0.232,-1.759,1020.280,0.000,21.746
17.167,12.418,9.690,0.266,-0.835,-0.240,-1.783,1020.290,0.032,21.802
17.456,12.581,9.894,0.193,-0.842,-0.218,-1.770,1020.270,0.264,21.823
17.747,12.730,10.138,0.308,-0.869,-0.236,-1.782,1020.270,0.275,21.838
18.038,12.925,10.261,0.389,-0.837,-0.239,-1.815,1020.280,0.391,21.831
18.330,13.120,10.436,0.464,-0.842,-0.250,-1.844,1020.290,0.518,21.831
18.619,13.298,10.592,0.500,-0.874,-0.254,-1.866,1020.270,0.285,21.833
18.910,13.463,10.753,0.556,-0.886,-0.254,-1.881,1020.250,0.359,21.846
19.200,13.610,10.916,0.537,-0.906,-0.250,-1.905,1020.290,0.095,21.854
19.489,13.766,11.090,0.580,-0.932,-0.261,-1.927,1020.230,0.169,21.872
19.977,14.081,11.380,0.544,-0.971,-0.258,-1.955,1020.270,0.011,21.805
20.269,14.278,11.567,0.567,-0.997,-0.255,-1.974,1020.290,0.169,21.833
20.560,14.389,11.744,0.572,-1.021,-0.279,-2.006,1020.290,0.074,21.844
20.851,14.590,11.929,0.626,-1.043,-0.274,-2.024,1020.290,-0.042,21.854
21.143,14.761,12.109,0.647,-1.046,-0.275,-2.047,1020.260,0.285,21.864
21.431,14.948,12.268,0.712,-1.043,-0.275,-2.068,1020.280,0.222,21.861
21.721,15.127,12.414,0.777,-1.058,-0.280,-2.086,1020.280,0.116,21.887
22.010,15.334,12.586,0.804,-1.071,-0.278,-2.107,1020.260,0.095,21.887
22.301,15.539,12.787,0.815,-1.083,-0.279,-2.135,1020.240,0.106,21.897
22.591,15.706,12.960,0.816,-1.085,-0.284,-2.150,1020.250,0.328,21.908
23.086,15.127,13.478,0.575,-1.018,-0.317,-2.017,1020.250,0.042,21.856
23.378,15.057,13.944,0.715,-0.751,-0.282,-1.904,1020.290,-0.127,21.903
23.671,14.583,14.601,1.340,-0.766,-0.228,-1.840,1020.360,-0.444,21.913
23.962,14.086,15.618,1.725,-0.568,-0.197,-1.787,1020.410,-0.951,21.910
24.255,13.258,16.222,1.811,-0.873,-0.178,-1.935,1020.380,-0.761,21.928
24.543,12.591,15.624,1.834,-1.221,-0.053,-2.052,1020.370,-0.592,21.938
24.838,11.730,14.945,1.542,-1.411,-0.073,-2.035,1020.390,-0.888,21.938
25.128,11.351,14.675,1.260,-1.250,-0.086,-2.057,1020.400,-0.867,21.941
25.418,10.983,14.390,1.126,-1.307,-0.070,-2.007,1020.390,-0.592,21.944
25.709,10.712,13.422,1.083,-1.783,-0.001,-2.161,1020.360,-0.296,21.936
26.168,10.166,10.873,-1.755,-1.869,0.176,-2.129,1020.340,-0.211,21.905
26.460,9.834,9.263,-3.464,-1.881,0.176,-2.144,1020.020,2.114,21.736
26.747,9.546,7.699,-5.132,-1.890,0.170,-2.160,1021.180,-8.054,21.728
27.036,9.284,6.141,-6.823,-1.894,0.163,-2.169,1021.590,-10.950,22.054
27.323,9.018,4.611,-8.493,-1.897,0.153,-2.179,1021.130,-7.187,21.813
27.613,8.750,3.066,-10.182,-1.900,0.145,-2.188,1021.640,-11.203,22.195
27.902,8.461,1.600,-11.875,-1.898,0.131,-2.195,1021.580,-11.119,22.247
28.193,8.194,0.050,-13.573,-1.900,0.122,-2.204,1021.620,-10.928,22.280
28.484,7.926,-1.503,-15.274,-1.902,0.114,-2.213,1021.610,-10.865,22.298
28.769,7.658,-3.018,-16.933,-1.905,0.106,-2.221,1021.600,-10.928,22.326
29.262,7.204,-5.649,-19.797,-1.910,0.092,-2.236,1021.610,-10.738,22.337
29.554,6.935,-7.201,-21.486,-1.912,0.084,-2.245,1021.620,-10.886,22.416
29.845,6.666,-8.751,-23.179,-1.914,0.076,-2.253,1021.590,-11.013,22.460
30.134,6.401,-10.290,-24.848,-1.917,0.068,-2.262,1021.590,-10.759,22.493
30.424,6.121,-11.836,-26.530,-1.918,0.059,-2.271,1021.590,-10.886,22.532
30.716,5.850,-13.384,-28.222,-1.920,0.050,-2.279,1021.640,-6.933,22.216
31.007,5.573,-14.953,-29.893,-1.923,0.046,-2.288,1021.620,-10.717,22.616
31.298,5.310,-16.518,-31.571,-1.927,0.039,-2.297,1021.570,-10.654,22.650
31.591,5.036,-18.063,-33.244,-1.929,0.031,-2.305,1021.580,-10.717,22.675
31.882,4.761,-19.615,-34.947,-1.931,0.023,-2.313,1021.100,-7.018,22.406
32.382,4.284,-22.287,-37.872,-1.935,0.008,-2.328,1021.620,-10.844,22.704
32.674,4.008,-23.844,-39.589,-1.936,0.001,-2.336,1021.130,-6.976,22.470
32.967,3.728,-25.409,-41.283,-1.938,-0.007,-2.345,1021.570,-10.802,22.804
33.262,3.449,-26.980,-42.987,-1.940,-0.016,-2.353,1021.570,-11.372,22.457
33.550,3.174,-28.514,-44.649,-1.942,-0.023,-2.361,1021.110,-10.844,22.876
33.842,2.870,-30.082,-46.343,-1.945,-0.031,-2.368,1021.590,-10.548,22.899
34.132,2.606,-31.616,-48.005,-1.947,-0.040,-2.376,1021.630,-6.553,22.557
34.425,2.328,-33.177,-49.681,-1.949,-0.047,-2.385,1021.600,-7.166,22.973
34.716,2.032,-34.734,-51.358,-1.953,-0.054,-2.394,1021.490,-13.190,22.989
35.009,1.900,-35.778,-53.512,-1.724,-0.116,-2.302,1020.550,-0.507,22.953
35.476,1.392,-38.978,-55.587,-1.857,-0.199,-0.991,1021.220,-7.293,22.881
35.770,0.396,-40.472,-56.989,-1.869,-0.215,-1.331,1021.200,-7.779,22.932
36.061,0.184,-41.896,-58.416,-1.890,-0.178,-1.331,1021.230,-7.927,22.955
36.354,-0.136,-43.319,-59.882,-1.926,-0.179,-1.314,1020.380,-0.888,22.986
36.649,-0.587,-44.882,-61.344,-1.894,-0.190,-1.248,1020.390,-0.782,22.958
36.947,-1.332,-46.417,-62.562,-1.905,-0.189,-1.265,1020.350,-0.571,22.935
37.242,-2.119,-47.868,-63.863,-1.917,-0.181,-1.274,1020.530,-2.050,22.907
37.533,-2.897,-49.266,-65.160,-1.918,-0.193,-1.283,1020.520,-2.072,22.937
37.824,-3.668,-50.667,-66.463,-1.923,-0.197,-1.288,1020.570,-2.114,22.948
38.116,-4.454,-52.078,-67.761,-1.924,-0.208,-1.295,1020.520,-1.902,22.953
38.627,-5.834,-54.563,-70.061,-1.927,-0.223,-1.307,1020.530,-2.029,22.904
38.918,-6.617,-55.952,-71.353,-1.928,-0.233,-1.314,1020.490,-1.691,22.963
39.210,-7.397,-57.362,-72.657,-1.929,-0.239,-1.321,1020.510,-1.987,23.002
39.501,-8.175,-58.767,-73.945,-1.930,-0.248,-1.328,1020.510,-1.924,23.022
39.794,-8.965,-60.179,-75.256,-1.931,-0.259,-1.336,1020.500,-1.776,23.038
40.086,-9.751,-61.590,-76.553,-1.933,-0.266,-1.343,1020.510,-1.966,23.053
40.379,-10.539,-62.999,-77.853,-1.934,-0.275,-1.349,1020.500,-1.924,23.066
40.669,-11.318,-64.400,-79.132,-1.935,-0.285,-1.357,1020.500,-2.072,23.071
40.961,-12.107,-65.812,-80.426,-1.937,-0.294,-1.364,1020.510,-1.924,23.063
41.255,-12.897,-67.233,-81.711,-1.938,-0.302,-1.370,1020.500,-1.860,23.081
41.768,-14.285,-69.717,-84.001,-1.942,-0.317,-1.381,1020.490,-1.902,23.032
42.059,-15.076,-71.113,-85.299,-1.944,-0.326,-1.388,1020.550,-1.881,23.081
42.349,-15.858,-72.515,-86.600,-1.946,-0.336,-1.395,1020.540,-1.924,23.094
42.641,-16.643,-73.924,-87.898,-1.948,-0.344,-1.402,1020.530,-1.818,23.117
42.934,-17.428,-75.334,-89.185,-1.949,-0.354,-1.410,1020.500,-2.050,23.127
43.221,-18.205,-76.725,-90.452,-1.951,-0.363,-1.417,1020.510,-1.733,23.140
