time,accX,accY,accZ,gyrX,gyrY,gyrZ,pres,alt,temp
228.823,-0.914,-0.811,5.119,-0.076,-0.043,0.120,1017.390,0.634,24.837
229.121,-0.912,-0.814,5.130,-0.076,-0.042,0.120,1017.410,0.602,24.906
229.416,-0.913,-0.815,5.137,-0.076,-0.043,0.120,1017.390,0.719,24.937
229.919,-0.910,-0.820,5.153,-0.076,-0.043,0.121,1017.400,0.444,24.899
230.215,-0.908,-0.822,5.159,-0.077,-0.043,0.121,1017.410,0.550,24.945
230.514,-0.906,-0.826,5.169,-0.077,-0.043,0.122,1017.400,0.602,24.955
230.810,-0.905,-0.827,5.176,-0.077,-0.043,0.122,1017.440,0.613,24.960
231.107,-0.907,-0.827,5.185,-0.077,-0.043,0.123,1017.420,0.497,24.968
231.399,-0.906,-0.831,5.191,-0.077,-0.043,0.123,1017.430,0.328,24.968
231.694,-0.906,-0.833,5.198,-0.078,-0.043,0.123,1017.420,0.592,24.968
231.987,-0.906,-0.835,5.205,-0.078,-0.044,0.123,1017.400,0.454,24.976
232.282,-0.904,-0.835,5.212,-0.077,-0.045,0.124,1017.400,0.581,24.971
232.577,-0.907,-0.836,5.222,-0.078,-0.044,0.124,1017.430,0.676,24.978
233.047,-0.902,-0.841,5.230,-0.078,-0.044,0.125,1017.420,0.772,24.929
233.345,-0.905,-0.840,5.241,-0.077,-0.044,0.125,1017.410,0.528,24.950
233.640,-0.904,-0.842,5.248,-0.077,-0.044,0.126,1017.450,0.317,24.971
233.938,-0.901,-0.845,5.257,-0.078,-0.044,0.126,1017.440,0.106,24.973
234.233,-0.899,-0.846,5.264,-0.078,-0.044,0.126,1017.440,0.233,24.976
234.527,-0.899,-0.851,5.270,-0.077,-0.044,0.126,1017.450,0.359,24.983
234.822,-0.898,-0.851,5.275,-0.077,-0.044,0.127,1017.430,0.380,24.983
235.120,-0.899,-0.853,5.280,-0.077,-0.044,0.127,1017.450,0.476,24.978
235.416,-0.900,-0.859,5.291,-0.078,-0.044,0.127,1017.430,0.328,24.981
235.709,-0.899,-0.864,5.300,-0.078,-0.045,0.127,1017.450,0.380,24.978
236.206,-0.896,-0.869,5.314,-0.077,-0.046,0.128,1017.440,0.423,24.911
236.503,-0.895,-0.874,5.321,-0.077,-0.046,0.129,1017.430,0.476,24.952
236.805,-0.895,-0.880,5.329,-0.076,-0.046,0.129,1017.400,0.349,24.963
237.102,-0.898,-0.879,5.339,-0.076,-0.046,0.129,1017.420,0.624,24.971
237.400,-0.898,-0.882,5.343,-0.076,-0.047,0.130,1017.430,0.222,24.976
237.696,-0.899,-0.888,5.350,-0.077,-0.047,0.131,1017.420,0.550,24.978
237.992,-0.898,-0.892,5.360,-0.077,-0.046,0.131,1017.430,0.433,24.978
238.292,-0.898,-0.894,5.368,-0.077,-0.047,0.131,1017.420,0.296,24.973
238.588,-0.900,-0.900,5.378,-0.077,-0.047,0.131,1017.460,0.190,24.973
238.886,-0.898,-0.904,5.388,-0.077,-0.047,0.131,1017.450,0.285,24.960
239.384,-0.895,-0.909,5.406,-0.077,-0.047,0.131,1017.430,0.285,24.906
239.683,-0.895,-0.917,5.418,-0.077,-0.047,0.132,1017.450,0.148,24.947
239.982,-0.895,-0.920,5.421,-0.077,-0.047,0.132,1017.420,0.507,24.950
240.283,-0.893,-0.919,5.427,-0.077,-0.047,0.132,1017.410,0.624,24.955
240.580,-0.891,-0.918,5.431,-0.077,-0.047,0.132,1017.430,0.423,24.950
240.873,-0.891,-0.921,5.432,-0.077,-0.047,0.133,1017.430,0.391,24.950
241.169,-0.892,-0.925,5.439,-0.077,-0.047,0.132,1017.420,0.539,24.963
241.468,-0.892,-0.929,5.443,-0.077,-0.048,0.132,1017.420,0.624,24.952
241.770,-0.888,-0.932,5.448,-0.077,-0.048,0.133,1017.430,0.550,24.947
242.067,-0.887,-0.936,5.450,-0.077,-0.047,0.133,1017.430,0.433,24.955
242.562,-0.885,-0.941,5.456,-0.077,-0.048,0.133,1017.430,0.645,24.888
242.862,-0.884,-0.944,5.461,-0.077,-0.048,0.133,1017.450,0.719,24.922
243.159,-0.886,-0.943,5.472,-0.077,-0.049,0.133,1017.430,0.507,24.935
243.455,-0.888,-0.948,5.475,-0.077,-0.048,0.134,1017.430,0.486,24.945
243.752,-0.889,-0.948,5.483,-0.077,-0.048,0.135,1017.430,0.613,24.940
244.046,-0.888,-0.953,5.490,-0.078,-0.049,0.135,1017.450,0.074,24.942
244.345,-0.888,-0.956,5.493,-0.078,-0.049,0.136,1017.440,0.275,24.942
244.643,-0.890,-0.960,5.499,-0.078,-0.049,0.136,1017.400,0.317,24.945
244.941,-0.889,-0.963,5.503,-0.078,-0.049,0.135,1017.400,0.676,24.935
245.241,-0.892,-0.964,5.506,-0.078,-0.048,0.136,1017.430,0.507,24.945
245.706,-0.894,-0.967,5.515,-0.078,-0.047,0.136,1017.410,0.465,24.891
246.003,-0.899,-0.971,5.520,-0.078,-0.047,0.137,1017.440,0.433,24.927
246.301,-0.902,-0.969,5.532,-0.078,-0.047,0.137,1017.460,0.423,24.935
246.600,-0.823,-0.913,5.542,-0.361,0.375,0.170,1017.440,0.296,24.937
246.891,-0.821,-0.915,5.545,-0.360,0.375,0.170,1017.460,0.380,24.940
247.186,-0.824,-0.916,5.551,-0.360,0.374,0.171,1017.450,0.412,24.940
247.482,-0.676,-0.792,5.563,-0.371,0.365,0.175,1017.460,0.296,24.947
247.777,-0.677,-0.793,5.572,-0.371,0.365,0.174,1017.410,0.370,24.947
248.072,-0.680,-0.795,5.576,-0.371,0.365,0.175,1017.430,0.074,24.940
248.368,-0.683,-0.796,5.584,-0.371,0.365,0.175,1017.440,0.254,24.945
248.864,-0.293,-1.753,5.454,0.281,0.142,0.018,1017.410,0.454,24.883
249.157,1.297,-1.842,5.366,0.389,-0.562,-0.279,1017.420,0.412,24.917
249.449,2.965,-0.397,4.425,1.138,0.088,-0.849,1017.410,0.571,24.914
249.741,2.151,2.230,1.753,1.663,1.237,-1.316,1017.400,0.761,24.917
250.029,0.616,4.081,-0.551,0.874,0.455,-1.577,1017.410,0.666,24.929
250.322,1.293,4.670,0.465,0.920,-0.967,-0.944,1017.400,0.624,24.945
250.618,4.284,5.378,-1.139,1.760,-0.989,-1.300,1017.390,0.698,24.947
250.909,5.011,7.803,-3.925,2.596,-0.362,-2.072,1017.380,0.941,24.942
251.199,3.882,9.870,-8.095,2.783,0.482,-2.843,1017.370,0.930,24.952
251.489,1.776,11.209,-12.419,3.073,0.463,-2.746,1017.380,0.941,24.955
251.983,-0.476,13.737,-20.667,2.782,0.889,-1.941,1017.330,1.015,24.917
252.275,-0.269,16.588,-24.619,2.394,0.289,-1.316,1017.360,0.846,24.971
252.566,-0.089,19.496,-27.678,2.197,0.166,-1.452,1017.370,1.184,25.004
252.855,0.911,22.352,-30.346,2.081,-1.065,-1.078,1017.360,1.015,25.019
253.146,2.295,25.077,-33.243,2.137,-0.885,-1.076,1017.360,0.909,24.999
253.434,2.048,28.159,-35.945,2.678,0.561,-0.994,1017.350,0.930,24.989
253.723,2.471,31.158,-39.097,2.807,0.955,-0.901,1017.340,1.110,24.999
254.009,2.778,34.033,-42.572,2.758,-0.043,-0.942,1017.340,1.036,25.029
254.300,3.212,36.764,-44.371,2.483,-1.455,-0.493,1017.320,1.184,25.050
254.586,4.669,39.457,-47.151,2.512,-1.540,-0.439,1017.350,1.258,25.083
255.083,4.365,44.115,-52.137,2.969,0.963,-0.463,1017.310,1.554,25.017
255.373,4.662,46.968,-55.651,2.944,1.138,-0.447,1017.320,1.332,25.065
255.661,4.941,49.855,-59.142,2.928,0.871,-0.446,1017.290,1.406,25.104
255.955,4.504,52.701,-61.333,2.708,-0.556,-0.177,1017.310,1.469,25.129
256.244,5.891,55.372,-64.025,2.731,-1.049,-0.071,1017.310,1.268,25.160
256.535,7.321,57.948,-67.153,2.737,-1.031,-0.081,1017.300,1.406,25.171
256.826,8.649,60.594,-70.079,2.734,-0.984,-0.125,1017.310,1.427,25.147
257.117,9.974,63.268,-73.021,2.730,-0.963,-0.138,1017.310,1.554,25.135
257.408,11.282,65.967,-75.909,2.715,-0.951,-0.138,1017.340,1.194,25.147
257.698,12.505,68.680,-78.560,2.700,-0.826,-0.152,1017.320,1.564,25.150
258.155,15.261,71.070,-83.558,3.311,-1.183,2.170,1017.310,1.533,25.099
258.444,17.926,70.294,-86.661,3.348,-1.179,2.348,1017.330,1.268,25.127
258.730,20.768,69.410,-89.809,3.428,-1.077,1.870,1017.360,1.215,25.114
259.017,21.212,71.560,-93.253,3.669,-0.565,0.548,1017.320,1.046,25.147
259.307,19.651,73.774,-96.824,3.695,0.065,-0.197,1017.330,0.951,25.178
259.598,17.386,74.871,-101.287,3.823,0.287,-0.433,1017.320,1.385,25.173
259.889,16.506,76.538,-104.505,2.798,-0.899,0.111,1017.340,1.205,25.196
260.179,16.977,76.992,-103.820,1.714,-1.170,0.402,1017.340,1.078,25.199
260.467,17.256,76.357,-104.005,1.657,-1.354,0.511,1017.390,0.645,25.199
260.757,16.772,76.527,-104.628,1.601,-1.301,0.771,1017.390,0.698,25.199
261.248,16.768,76.522,-104.620,1.600,-1.301,0.774,1017.410,0.719,25.122
261.537,16.766,76.515,-104.601,1.601,-1.301,0.774,1017.400,0.687,25.160
261.825,16.766,76.506,-104.605,1.601,-1.301,0.774,1017.430,0.370,25.173
262.114,16.766,76.500,-104.600,1.601,-1.301,0.775,1017.390,0.772,25.176
262.403,16.763,76.497,-104.592,1.601,-1.302,0.776,1017.430,0.497,25.168
262.691,16.765,76.493,-104.599,1.601,-1.302,0.776,1017.410,0.507,25.171
262.979,16.765,76.488,-104.594,1.600,-1.301,0.776,1017.400,0.687,25.178
263.270,16.762,76.483,-104.591,1.600,-1.301,0.776,1017.420,0.317,25.176
263.558,16.758,76.481,-104.590,1.600,-1.301,0.776,1017.420,0.338,25.171
263.846,16.758,76.476,-104.587,1.599,-1.301,0.776,1017.430,0.592,25.178
