time,accX,accY,accZ,gyrX,gyrY,gyrZ,pres,alt,temp
2453.210,-0.076,-0.087,0.259,0.020,-0.013,-0.007,1017.340,0.095,24.914
2453.510,-0.077,-0.087,0.259,0.020,-0.013,-0.007,1017.330,0.053,24.924
2453.810,-0.077,-0.087,0.257,0.019,-0.013,-0.008,1017.330,0.106,24.924
2454.110,-0.079,-0.092,0.256,0.019,-0.012,-0.008,1017.340,-0.106,24.935
2454.420,-0.081,-0.091,0.255,0.019,-0.012,-0.008,1017.330,0.011,24.929
2454.720,-0.081,-0.089,0.255,0.019,-0.012,-0.008,1017.340,-0.085,24.922
2455.020,-0.081,-0.090,0.253,0.018,-0.012,-0.008,1017.320,0.032,24.929
2455.320,-0.083,-0.089,0.253,0.018,-0.012,-0.007,1017.370,0.190,24.924
2455.630,-0.084,-0.090,0.253,0.017,-0.011,-0.007,1017.340,-0.106,24.935
2455.930,-0.086,-0.089,0.253,0.017,-0.011,-0.007,1017.330,-0.085,24.929
2456.460,-0.085,-0.090,0.256,0.016,-0.011,-0.008,1017.340,0.137,24.870
2456.760,-0.085,-0.089,0.252,0.016,-0.011,-0.007,1017.350,-0.106,24.911
2457.060,-0.089,-0.090,0.255,0.016,-0.011,-0.008,1017.360,-0.317,24.919
2457.360,-0.093,-0.093,0.253,0.016,-0.011,-0.007,1017.350,-0.127,24.932
2457.660,-0.091,-0.090,0.253,0.015,-0.012,-0.007,1017.380,-0.211,24.937
2457.970,-0.093,-0.092,0.257,0.015,-0.012,-0.007,1017.360,-0.042,24.935
2458.270,-0.095,-0.095,0.263,0.015,-0.012,-0.008,1017.350,-0.021,24.927
2458.580,-0.096,-0.095,0.264,0.014,-0.011,-0.008,1017.360,0.000,24.935
2458.870,-0.097,-0.096,0.262,0.015,-0.011,-0.008,1017.340,-0.085,24.940
2459.180,-0.098,-0.093,0.263,0.015,-0.011,-0.007,1017.360,-0.169,24.937
2459.660,-0.096,-0.095,0.263,0.014,-0.011,-0.007,1017.330,0.106,24.886
2459.960,-0.098,-0.095,0.259,0.014,-0.011,-0.007,1017.350,0.222,24.924
2460.260,-0.099,-0.095,0.257,0.013,-0.011,-0.007,1017.350,-0.063,24.935
2460.560,-0.097,-0.095,0.257,0.013,-0.011,-0.008,1017.360,-0.085,24.932
2460.870,-0.099,-0.096,0.260,0.013,-0.011,-0.008,1017.350,-0.148,24.942
2461.170,-0.098,-0.099,0.262,0.013,-0.011,-0.008,1017.350,0.169,24.935
2461.470,-0.097,-0.098,0.262,0.013,-0.011,-0.007,1017.320,-0.148,24.940
2461.770,-0.096,-0.097,0.262,0.013,-0.011,-0.007,1017.350,-0.211,24.947
2462.070,-0.097,-0.096,0.263,0.013,-0.011,-0.007,1017.340,-0.190,24.947
2462.380,-0.098,-0.094,0.259,0.013,-0.011,-0.007,1017.350,-0.106,24.940
2462.900,-0.099,-0.095,0.259,0.012,-0.012,-0.007,1017.340,-0.106,24.881
2463.210,-0.099,-0.095,0.260,0.012,-0.012,-0.007,1017.320,-0.211,24.927
2463.510,-0.099,-0.096,0.264,0.012,-0.012,-0.007,1017.350,-0.148,24.935
2463.820,-0.098,-0.097,0.264,0.012,-0.012,-0.007,1017.350,-0.106,24.937
2464.120,-0.095,-0.098,0.265,0.012,-0.013,-0.008,1017.360,-0.190,24.945
2464.420,-0.097,-0.096,0.266,0.012,-0.013,-0.008,1017.340,-0.042,24.937
2464.730,-0.096,-0.096,0.266,0.012,-0.012,-0.008,1017.350,-0.233,24.940
2465.030,-0.095,-0.095,0.266,0.011,-0.013,-0.009,1017.350,-0.296,24.947
2465.330,-0.095,-0.095,0.265,0.012,-0.013,-0.008,1017.350,-0.359,24.947
2465.630,-0.099,-0.093,0.266,0.011,-0.013,-0.009,1017.350,-0.233,24.945
