time,accX,accY,accZ,gyrX,gyrY,gyrZ,pres,alt,temp
239.704,6.359,0.229,2.360,0.282,0.156,0.494,1017.370,0.328,25.137
239.998,6.353,0.228,2.365,0.282,0.157,0.494,1017.390,0.190,25.137
240.290,6.347,0.229,2.372,0.282,0.157,0.494,1017.400,0.307,25.145
240.745,6.344,0.232,2.382,0.282,0.157,0.494,1017.390,0.275,25.091
241.033,6.342,0.233,2.386,0.282,0.157,0.494,1017.380,0.106,25.127
241.323,6.338,0.231,2.388,0.282,0.157,0.494,1017.390,0.370,25.129
241.614,6.332,0.235,2.396,0.281,0.157,0.494,1017.430,0.243,25.135
241.902,6.322,0.238,2.406,0.281,0.157,0.494,1017.390,0.338,25.132
242.192,6.312,0.244,2.417,0.281,0.157,0.494,1017.390,0.275,25.135
242.482,6.310,0.247,2.424,0.281,0.157,0.494,1017.410,0.296,25.145
242.772,6.309,0.246,2.432,0.280,0.157,0.494,1017.400,0.338,25.147
243.061,6.304,0.250,2.438,0.280,0.157,0.494,1017.390,0.159,25.153
243.352,6.298,0.252,2.447,0.280,0.157,0.494,1017.410,0.349,25.155
243.844,6.290,0.253,2.459,0.279,0.157,0.494,1017.390,0.433,25.086
244.135,6.290,0.256,2.465,0.279,0.157,0.494,1017.390,0.317,25.119
244.423,6.283,0.257,2.475,0.279,0.157,0.494,1017.410,0.370,25.132
244.713,6.279,0.255,2.478,0.279,0.157,0.494,1017.400,0.285,25.140
245.000,6.274,0.257,2.487,0.279,0.157,0.494,1017.390,0.169,25.140
245.291,6.268,0.257,2.491,0.278,0.157,0.494,1017.410,0.275,25.135
245.581,6.266,0.260,2.499,0.278,0.157,0.494,1017.420,0.243,25.135
245.869,6.261,0.263,2.507,0.278,0.157,0.494,1017.390,0.148,25.135
246.160,6.257,0.262,2.512,0.278,0.157,0.495,1017.370,0.264,25.137
246.448,6.254,0.264,2.518,0.278,0.157,0.495,1017.400,0.201,25.132
246.904,6.246,0.263,2.524,0.278,0.157,0.494,1017.400,0.233,25.081
247.198,6.239,0.261,2.531,0.278,0.157,0.495,1017.380,0.201,25.111
247.486,6.231,0.263,2.534,0.278,0.157,0.495,1017.380,0.211,25.127
247.772,6.225,0.266,2.543,0.278,0.157,0.495,1017.400,0.359,25.129
