time,accX,accY,accZ,gyrX,gyrY,gyrZ,pres,alt,temp
14.662,0.053,0.178,0.267,0.012,-0.008,0.003,1017.430,0.127,24.947
14.961,0.052,0.176,0.271,0.012,-0.008,0.003,1017.460,-0.085,24.968
15.260,0.050,0.176,0.274,0.012,-0.008,0.004,1017.440,0.106,24.976
15.558,0.047,0.176,0.275,0.012,-0.008,0.003,1017.430,-0.169,24.981
15.853,0.049,0.179,0.279,0.012,-0.008,0.004,1017.440,-0.190,24.973
16.151,0.049,0.180,0.281,0.011,-0.008,0.005,1017.430,-0.063,24.983
16.451,0.048,0.179,0.283,0.011,-0.008,0.005,1017.420,0.032,24.976
16.750,0.047,0.178,0.286,0.011,-0.008,0.005,1017.440,-0.127,24.978
17.049,0.050,0.179,0.291,0.011,-0.008,0.005,1017.440,-0.063,24.978
17.347,0.052,0.178,0.298,0.011,-0.008,0.006,1017.460,-0.085,24.968
17.647,0.056,0.181,0.299,0.011,-0.008,0.005,1017.430,-0.106,24.971
18.211,0.060,0.190,0.304,0.011,-0.008,0.005,1017.420,-0.085,24.904
18.512,0.064,0.193,0.313,0.012,-0.009,0.006,1017.440,-0.317,24.945
18.808,0.065,0.197,0.318,0.012,-0.008,0.006,1017.440,-0.085,24.952
19.107,0.063,0.198,0.319,0.012,-0.008,0.007,1017.430,-0.211,24.965
19.405,0.062,0.200,0.322,0.011,-0.008,0.007,1017.430,0.063,24.973
19.704,0.060,0.201,0.323,0.011,-0.008,0.007,1017.440,-0.148,24.960
20.008,0.062,0.203,0.322,0.011,-0.008,0.008,1017.430,-0.127,24.947
20.314,0.062,0.206,0.325,0.011,-0.007,0.007,1017.440,-0.063,24.940
20.614,0.062,0.205,0.327,0.012,-0.007,0.008,1017.430,-0.148,24.947
20.916,0.063,0.206,0.332,0.012,-0.007,0.008,1017.460,-0.338,24.950
21.398,0.069,0.208,0.345,0.012,-0.007,0.008,1017.410,-0.190,24.896
21.696,0.071,0.211,0.348,0.012,-0.007,0.009,1017.450,-0.148,24.927
21.994,0.073,0.210,0.356,0.011,-0.007,0.009,1017.450,-0.042,24.947
22.294,0.074,0.211,0.357,0.012,-0.007,0.009,1017.440,-0.042,24.945
22.594,0.078,0.216,0.364,0.012,-0.007,0.009,1017.450,-0.275,24.950
22.889,0.077,0.216,0.367,0.012,-0.007,0.010,1017.450,-0.148,24.950
23.185,0.077,0.215,0.370,0.012,-0.007,0.010,1017.470,-0.042,24.950
23.481,0.076,0.215,0.374,0.013,-0.007,0.009,1017.430,-0.169,24.942
23.780,0.081,0.219,0.382,0.013,-0.007,0.009,1017.460,0.011,24.947
24.076,0.080,0.219,0.383,0.013,-0.007,0.010,1017.450,-0.423,24.952
24.590,0.086,0.220,0.391,0.013,-0.008,0.011,1017.400,-0.106,24.876
24.886,0.088,0.219,0.397,0.013,-0.008,0.010,1017.460,-0.148,24.917
25.185,0.089,0.221,0.402,0.013,-0.008,0.010,1017.460,-0.190,24.932
25.481,0.092,0.222,0.408,0.013,-0.008,0.010,1017.460,-0.275,24.940
25.780,0.089,0.222,0.413,0.013,-0.008,0.010,1017.450,-0.254,24.935
26.077,0.091,0.226,0.417,0.013,-0.008,0.010,1017.420,-0.106,24.932
26.375,0.087,0.226,0.422,0.013,-0.008,0.011,1017.460,-0.085,24.929
26.675,0.088,0.228,0.427,0.013,-0.008,0.011,1017.410,-0.042,24.932
26.972,0.088,0.228,0.429,0.012,-0.008,0.012,1017.430,-0.169,24.935
27.271,0.088,0.229,0.431,0.013,-0.008,0.012,1017.440,0.000,24.922
27.787,0.087,0.232,0.439,0.012,-0.008,0.013,1017.400,0.021,24.865
28.084,0.088,0.232,0.444,0.012,-0.007,0.013,1017.430,-0.021,24.906
28.380,0.092,0.233,0.449,0.012,-0.007,0.013,1017.430,-0.063,24.914
28.676,0.093,0.235,0.453,0.012,-0.007,0.013,1017.440,-0.190,24.922
28.974,0.090,0.233,0.457,0.012,-0.008,0.013,1017.430,0.317,24.922
29.272,0.090,0.234,0.459,0.013,-0.008,0.014,1017.410,-0.042,24.917
29.568,0.089,0.233,0.461,0.012,-0.008,0.014,1017.420,-0.127,24.927
29.867,0.092,0.234,0.460,0.012,-0.008,0.014,1017.410,0.085,24.927
30.163,0.094,0.237,0.466,0.013,-0.008,0.014,1017.450,0.137,24.924
30.458,0.095,0.240,0.470,0.013,-0.008,0.015,1017.470,-0.190,24.935
30.983,0.097,0.240,0.470,0.013,-0.008,0.014,1017.450,-0.063,24.858
31.284,0.096,0.241,0.472,0.013,-0.008,0.014,1017.450,-0.275,24.896
31.583,0.096,0.245,0.475,0.012,-0.008,0.014,1017.470,0.053,24.901
31.884,0.097,0.247,0.480,0.012,-0.008,0.014,1017.430,-0.148,24.904
32.183,0.097,0.248,0.486,0.011,-0.008,0.014,1017.460,-0.254,24.911
32.482,0.098,0.253,0.490,0.011,-0.007,0.014,1017.470,-0.507,24.906
32.780,0.101,0.255,0.497,0.011,-0.008,0.014,1017.460,-0.296,24.917
33.075,0.101,0.259,0.502,0.010,-0.008,0.014,1017.440,-0.169,24.914
33.373,0.099,0.259,0.508,0.010,-0.007,0.014,1017.450,-0.317,24.914
33.667,0.101,0.261,0.515,0.010,-0.007,0.015,1017.490,-0.698,24.911
34.192,0.096,0.261,0.523,0.009,-0.007,0.016,1017.440,-0.085,24.840
34.493,0.098,0.264,0.533,0.010,-0.007,0.015,1017.440,-0.169,24.881
34.792,0.098,0.264,0.532,0.010,-0.007,0.016,1017.470,-0.465,24.894
35.090,0.100,0.266,0.535,0.010,-0.007,0.016,1017.470,-0.042,24.896
35.389,0.098,0.267,0.539,0.009,-0.006,0.016,1017.480,-0.359,24.906
