time,accX,accY,accZ,gyrX,gyrY,gyrZ,pres,alt,temp
13.389,-0.165,-0.111,0.160,-0.010,0.001,0.003,1017.380,-0.063,24.321
13.692,-0.172,-0.119,0.179,-0.008,0.001,0.004,1017.550,-1.057,24.360
13.993,-0.270,-0.112,0.268,-0.006,0.001,-0.004,1017.370,-0.190,24.354
14.300,-0.507,-0.379,-0.335,-0.001,0.067,0.079,1017.340,0.486,24.365
14.600,-0.682,-0.537,-0.499,-0.019,0.049,0.062,1017.330,0.307,24.383
14.897,-0.729,-0.532,-0.519,-0.022,0.050,0.063,1017.320,0.328,24.380
15.196,-0.773,-0.517,-0.505,-0.022,0.049,0.063,1017.340,0.486,24.375
15.494,-0.810,-0.498,-0.475,-0.022,0.049,0.063,1017.330,0.349,24.372
15.791,-0.854,-0.482,-0.448,-0.021,0.049,0.063,1017.330,0.233,24.370
16.091,-0.897,-0.466,-0.420,-0.021,0.049,0.064,1017.320,0.391,24.375
16.389,-0.936,-0.448,-0.387,-0.019,0.049,0.064,1017.330,0.465,24.375
16.907,-1.032,-0.442,-0.354,-0.022,0.048,0.065,1017.310,0.465,24.313
17.206,-1.072,-0.429,-0.335,-0.020,0.048,0.065,1017.310,0.338,24.357
17.502,-1.112,-0.408,-0.306,-0.022,0.048,0.066,1017.310,0.243,24.354
17.804,-1.145,-0.343,-0.281,-0.015,0.053,0.078,1017.320,-0.021,24.365
18.105,-1.253,-0.368,-0.294,-0.021,0.049,0.076,1017.340,0.053,24.367
18.404,-1.305,-0.354,-0.271,-0.020,0.049,0.075,1017.340,0.000,24.362
18.697,-1.350,-0.339,-0.244,-0.020,0.049,0.075,1017.350,-0.085,24.362
18.997,-1.389,-0.319,-0.213,-0.019,0.048,0.075,1017.350,0.116,24.365
19.293,-1.433,-0.301,-0.187,-0.019,0.048,0.074,1017.370,0.148,24.378
19.590,-1.478,-0.285,-0.166,-0.020,0.048,0.074,1017.360,0.095,24.370
20.102,-1.552,-0.256,-0.132,-0.020,0.049,0.074,1017.350,0.380,24.313
20.401,-1.596,-0.240,-0.104,-0.020,0.048,0.075,1017.330,0.053,24.354
20.699,-1.640,-0.224,-0.080,-0.021,0.048,0.074,1017.320,-0.106,24.372
21.000,-1.684,-0.208,-0.057,-0.022,0.049,0.075,1017.330,0.021,24.372
21.297,-1.726,-0.189,-0.033,-0.022,0.049,0.074,1017.380,0.021,24.365
21.596,-1.771,-0.173,-0.009,-0.022,0.048,0.074,1017.330,0.243,24.362
21.895,-1.817,-0.157,0.012,-0.022,0.048,0.075,1017.350,0.063,24.360
22.193,-1.863,-0.140,0.034,-0.022,0.048,0.075,1017.330,0.063,24.362
22.493,-1.912,-0.121,0.059,-0.022,0.048,0.076,1017.340,0.127,24.375
22.790,-1.954,-0.105,0.079,-0.022,0.048,0.076,1017.360,0.085,24.367
23.297,-2.027,-0.083,0.110,-0.023,0.048,0.075,1017.330,0.243,24.316
23.595,-2.070,-0.066,0.132,-0.023,0.048,0.076,1017.370,0.148,24.352
23.892,-2.116,-0.049,0.147,-0.023,0.048,0.076,1017.360,0.169,24.367
24.191,-2.160,-0.034,0.170,-0.023,0.047,0.076,1017.340,-0.021,24.372
24.491,-2.201,-0.018,0.199,-0.022,0.047,0.076,1017.350,0.000,24.380
24.784,-2.249,0.002,0.222,-0.023,0.048,0.077,1017.380,-0.127,24.390
25.082,-2.293,0.021,0.245,-0.023,0.047,0.077,1017.380,0.085,24.388
25.376,-2.335,0.037,0.269,-0.023,0.047,0.077,1017.380,-0.042,24.393
25.674,-2.372,0.057,0.300,-0.028,0.048,0.077,1017.390,-0.169,24.396
25.972,-2.415,0.075,0.337,-0.027,0.048,0.077,1017.370,0.285,24.393
